lookback,hold_minutes,cost_bps,gross_sharpe,net_sharpe,gross_ann_return,net_ann_return,gross_ann_vol,net_ann_vol,gross_max_drawdown,net_max_drawdown,hit_rate,avg_turnover,break_even_cost_bps,avg_gross_exposure,avg_net_exposure
5,10,0.0,4.72284069851129,4.72284069851129,0.5210676668232151,0.5210676668232151,0.11032929122243389,0.11032929122243389,-0.029319074135488843,-0.029319074135488843,0.38230616302186876,0.13437225813781367,0.39456572995575995,0.6078763478818712,-1.0630316162376638e-17
5,5,0.0,4.140976991213519,4.140976991213519,0.5915919455011036,0.5915919455011036,0.14286289123469312,0.14286289123469312,-0.03126531333890559,-0.03126531333890559,0.38260437375745526,0.26540911095047837,0.2267990742055174,0.7022352932043029,3.73802085830325e-18
5,3,0.0,2.286553460243386,2.286553460243386,0.36518664077614205,0.36518664077614205,0.15971051940210082,0.15971051940210082,-0.03540598195687639,-0.03540598195687639,0.3799204771371769,0.39386297098648226,0.09434189196228247,0.7328582458312474,3.004075622242501e-17
5,2,0.0,1.0238744237704238,1.0238744237704238,0.17680349445191623,0.17680349445191623,0.17268083892635613,0.17268083892635613,-0.04090396882065772,-0.04090396882065772,0.3783300198807157,0.5333684466930463,0.03372860479804338,0.7430304446418367,-1.5705343131037e-16
3,10,0.0,0.9571627134717651,0.9571627134717651,0.09426655708276581,0.09426655708276581,0.09848540457750138,0.09848540457750138,-0.03947614011997003,-0.03947614011997003,0.37962226640159047,0.13510847816527463,0.07099207914302762,0.5451379482020073,1.7240955734036605e-17
1,2,0.0,0.7906588474773657,0.7906588474773657,0.10610510639177316,0.10610510639177316,0.1341983419654463,0.1341983419654463,-0.034598918137003776,-0.034598918137003776,0.3812127236580517,0.677756705565912,0.015929322842410974,0.6669113432628788,-1.3090911376228853e-16
3,1,0.0,0.4397341702805839,0.4397341702805839,0.08570622578577354,0.08570622578577354,0.19490463006567457,0.19490463006567457,-0.04908262626474513,-0.04908262626474513,0.37395626242544733,1.017085461242053,0.008574124325472252,0.7525844930417495,-1.8278398454626396e-20
5,1,0.0,0.24642957533590396,0.24642957533590396,0.04762179736066496,0.04762179736066496,0.19324708609245664,0.19324708609245664,-0.043870795917383854,-0.043870795917383854,0.3736580516898608,0.8981362334081022,0.005395086565635349,0.7493041749502982,-3.5625633214394466e-19
2,10,0.0,-0.12411802942366112,-0.12411802942366112,-0.010567925859809006,-0.010567925859809006,0.08514416405804136,0.08514416405804136,-0.03604941224769942,-0.03604941224769942,0.38101391650099403,0.13578950393780437,-0.00791878238258836,0.5023971135062695,1.4302101536468545e-17
3,5,0.0,-0.23266502784077817,-0.23266502784077817,-0.030612930075677974,-0.030612930075677974,0.13157512480400624,0.13157512480400624,-0.0371810399726924,-0.0371810399726924,0.37524850894632206,0.26888708194155597,-0.011584300471325793,0.6482001725717458,-3.2708409981790036e-17
2,1,0.0,-0.36937806474023094,-0.36937806474023094,-0.0706563853226095,-0.0706563853226095,0.19128473525437784,0.19128473525437784,-0.07488679262230713,-0.07488679262230713,0.3805168986083499,1.1267129382497079,-0.006380768474211471,0.7542743538767396,-1.3225973221413629e-19
3,2,0.0,-0.7706809806547503,-0.7706809806547503,-0.13033087331704682,-0.13033087331704682,0.16911131400481838,0.16911131400481838,-0.045446891453287064,-0.045446891453287064,0.3766401590457256,0.6056762341874425,-0.02189483237522097,0.7380286959353848,-1.421582609470622e-16
1,1,0.0,-0.7825016265249904,-0.7825016265249904,-0.1531516904428413,-0.1531516904428413,0.19572060332062474,0.19572060332062474,-0.07199453584759674,-0.07199453584759674,0.3756461232604374,1.348899481435876,-0.011552528783813593,0.7547713717693837,-7.397578242485589e-19
1,10,0.0,-1.4077617091005037,-1.4077617091005037,-0.09289762087259082,-0.09289762087259082,0.06598959203965579,0.06598959203965579,-0.028959628529245274,-0.028959628529245274,0.37753479125248507,0.136721895074541,-0.06913554241604875,0.4500503317310679,-2.823795936352432e-18
3,3,0.0,-2.2380942819311036,-2.2380942819311036,-0.34923676749912924,-0.34923676749912924,0.15604202661104874,0.15604202661104874,-0.05210106258951186,-0.05210106258951186,0.37445328031809144,0.4438269132738909,-0.08006471794553843,0.71391363239573,-1.7821080505366475e-16
2,5,0.0,-2.575781990132429,-2.575781990132429,-0.2963862542076583,-0.2963862542076583,0.11506651391425411,0.11506651391425411,-0.04540626945045367,-0.04540626945045367,0.3820079522862823,0.27043041114525024,-0.11151605100641963,0.604809790842054,-5.6983402940746425e-18
2,2,0.0,-2.583221161427954,-2.583221161427954,-0.4057705165938518,-0.4057705165938518,0.15707927863580595,0.15707927863580595,-0.06401923388535014,-0.06401923388535014,0.37803180914512924,0.6698510518345516,-0.06163637608322128,0.7270256502293506,-5.600846161940068e-17
2,3,0.0,-3.34739710240313,-3.34739710240313,-0.46245797311155695,-0.46245797311155695,0.1381545000381203,0.1381545000381203,-0.06346442720237577,-0.06346442720237577,0.38141153081510937,0.45035581583542195,-0.10448437472037127,0.6759237996395734,6.343566502164572e-17
1,3,0.0,-3.813500655712526,-3.813500655712526,-0.4266422617301656,-0.4266422617301656,0.11187680303425844,0.11187680303425844,-0.0648412479319509,-0.0648412479319509,0.3738568588469185,0.45324954620490104,-0.09577702593509729,0.6147191410199313,-4.985760091679258e-18
1,5,0.0,-3.9053633059764756,-3.9053633059764756,-0.3553581821952596,-0.3553581821952596,0.09099234932930468,0.09099234932930468,-0.046204038564835015,-0.046204038564835015,0.3799204771371769,0.2725775956618789,-0.13265114877948742,0.5455088954589696,-1.3868563332745298e-17
