strategy,asset_class,gross_sharpe,net_sharpe,gross_ann_return,net_ann_return,gross_ann_vol,net_ann_vol,gross_max_drawdown,net_max_drawdown,hit_rate,avg_turnover,total_turnover,break_even_cost_bps,trade_ticks,trade_tick_pct,entry_ticks,entry_tick_pct,exit_ticks,exit_tick_pct,flip_ticks,flip_tick_pct,bars_in_market,market_exposure_pct,avg_abs_position,hold_count,avg_hold_bars,median_hold_bars,max_hold_bars,universe_size,bars
crypto_regime_trend,crypto,2.056140880539341,2.056140880539341,0.39505161946341144,0.39505161946341144,0.19213256406817145,0.19213256406817145,-0.051771619853742235,-0.051771619853742235,0.1573751986915156,0.005267724818969952,457.3333333333333,1.426840441352093,1336.0,0.015388513902646917,5656.0,0.06514778041419982,5675.0,0.06536662904006081,0.0,0.0,27508.0,0.3168467368518049,0.16797975842183263,2193.0,12.543547651618788,3.0,517.0,3,86818
fast_ma_churn,stock,-2.9710947050179484,-2.9710947050179484,-0.7622359616837325,-0.7622359616837325,0.2565505436081776,0.2565505436081776,-0.05873266711775926,-0.05873266711775926,0.503525641025641,0.13218864468864466,412.4285714285714,-0.5867189790891988,1064.0,0.34102564102564104,1.0,0.0003205128205128205,0.0,0.0,1063.0,0.3407051282051282,3115.0,0.9983974358974359,0.9983974358974359,1.0,3115.0,3115.0,3115.0,7,3120
micro_momentum_flip,stock,-5.821356601112637,-5.821356601112637,-1.4244484717052845,-1.4244484717052845,0.2446935601631121,0.2446935601631121,-0.07771922474287518,-0.07771922474287518,0.4826923076923077,0.2864010989010989,893.5714285714284,-0.5060657151453183,1737.0,0.5567307692307693,2.0,0.000641025641025641,0.0,0.0,1736.0,0.5564102564102564,3117.0,0.9990384615384615,0.9989468864468865,1.0,3117.0,3117.0,3117.0,7,3120
crypto_fast_ema_long_only,crypto,-5.939642079606036,-5.939642079606036,-2.4705240405616644,-2.4705240405616644,0.4159382008966993,0.4159382008966993,-0.3521842717110467,-0.3521842717110467,0.30316293856112786,0.0565474133628203,4909.333333333333,-0.8312295692231404,12767.0,0.14705475822986017,15734.0,0.18122969891036422,15750.0,0.18141399249003662,0.0,0.0,53848.0,0.6202400423875233,0.42622113693780866,4034.0,13.348537431829449,5.0,218.0,3,86818
